iter	Accuracy	Logloss
0	0.7967115097	0.687446244211	0.802690583	0.681215483822	0.8191330344	0.674959201933	0.8146487294	0.669080561244	0.8236173393	0.663041475955	0.8251121076	0.657574483366	0.8251121076	0.652320213277	0.8251121076	0.647141044688	0.8251121076	0.642153403999	0.8251121076	0.6375353011010	0.8251121076	0.6330302111	11	0.8236173393	0.6282678012	12	0.8236173393	0.6231030113	13	0.822122571	0.6188244114	14	0.8206278027	0.614740115	15	0.8236173393	0.6104216	0.816	0.8236173393	0.607817	0.8217	0.8236173393	0.605118	0.8218	0.8295964126	0.60119	0.82019	0.8266068759	0.59720	0.82020	0.8281016442	0.59321	0.82221	0.8281016442	0.5922	0.820622	0.8266068759	0.5823	0.820623	0.8266068759	0.524	0.82024	0.8266068759	0.58125	0.82225	0.8251121076	0.5726	0.822126	0.8251121076	0.527	0.8221227	0.8266068759	0.28	0.82212228	0.8281016442	029	0.822122529	0.8281016442	30	0.8221225730	0.828101644231	0.82212257131	0.82959641232	0.82212257132	0.82660687533	0.822122571	33	0.8266068734	0.8251121076	34	0.8295964135	0.8251121076	35	0.8266068736	0.8236173393	36	0.8251121037	0.8236173393	37	0.8281016438	0.8251121076	38	0.8281016439	0.8251121076	39	0.8266068740	0.8236173393	40	0.826606841	0.8236173393	041	0.825112142	0.8251121076	042	0.826606843	0.8236173393	043	0.826606844	0.8236173393	044	0.8281045	0.8236173393	0.45	0.82810146	0.8236173393	0.46	0.82511247	0.8236173393	047	0.826606848	0.822122571	0.48	0.8266049	0.8236173393	0.549	0.8266050	0.8236173393	0.50	0.82810151	0.822122571	0.551	0.8266052	0.822122571	0.5052	0.828153	0.8236173393	0.5053	0.828154	0.822122571	0.49854	0.82655	0.822122571	0.497055	0.8256	0.8236173393	0.495056	0.8257	0.8236173393	0.492557	0.8258	0.8236173393	0.490758	0.8259	0.8236173393	0.488559	0.8260	0.8251121076	0.486660	0.8261	0.8236173393	0.485461	0.8262	0.8236173393	0.484562	0.8263	0.8251121076	0.48263	0.82664	0.8251121076	0.48064	0.82665	0.8251121076	0.47965	0.82966	0.8251121076	0.47766	0.82867	0.822122571	0.477167	0.8268	0.822122571	0.4756768	0.869	0.8251121076	0.4741169	0.870	0.8251121076	0.4721470	0.871	0.8236173393	0.4714871	0.872	0.822122571	0.4699872	0.873	0.822122571	0.46881373	0.74	0.822122571	0.467727174	075	0.822122571	0.4663336475	76	0.822122571	0.4657493917677	0.8206278027	0.4645867027778	0.8206278027	0.464028513779	0.822122571	0.4628397648
80	0.8206278027	0.461487514
81	0.8206278027	0.4595338149
82	0.8206278027	0.4584830501
83	0.8206278027	0.4568235451
84	0.8206278027	0.4561814364
85	0.822122571	0.4548421868
86	0.8206278027	0.4537133509
87	0.8206278027	0.4524387629
88	0.822122571	0.450998436
89	0.8206278027	0.450016821
90	0.822122571	0.4486215671
91	0.822122571	0.4473806028
92	0.822122571	0.4461509426
93	0.8236173393	0.4452946635
94	0.8236173393	0.4446093985
95	0.8236173393	0.4437488626
96	0.8251121076	0.4426611876
97	0.8251121076	0.441944672
98	0.8236173393	0.4406123032
99	0.8236173393	0.4396824484
100	0.8236173393	0.438013723
101	0.8236173393	0.4376989559
102	0.8236173393	0.4365226628
103	0.8236173393	0.4353826121
104	0.8236173393	0.4342547574
105	0.8236173393	0.4333541318
106	0.8266068759	0.4327322622
107	0.8236173393	0.4316342537
108	0.8266068759	0.4309804217
109	0.8236173393	0.430653555
110	0.8236173393	0.4303957704
111	0.8236173393	0.4300961743
112	0.8251121076	0.4295966568
113	0.8251121076	0.4293930498
114	0.8266068759	0.4285268078
115	0.8266068759	0.4282485788
116	0.8266068759	0.4275208395
117	0.8266068759	0.4271074103
118	0.8251121076	0.426434238
119	0.8266068759	0.4263928461
120	0.8251121076	0.4254238865
121	0.8251121076	0.4252088252
122	0.8266068759	0.4244429654
123	0.8266068759	0.4241113223
124	0.8266068759	0.423395583
125	0.8266068759	0.423103637
126	0.8266068759	0.4229345402
127	0.8266068759	0.4227398313
128	0.8266068759	0.4217573044
129	0.8266068759	0.4213755303
130	0.8266068759	0.4206186964
131	0.8266068759	0.4200858339
132	0.8266068759	0.4195720611
133	0.8266068759	0.4191738633
134	0.8266068759	0.4186743253
135	0.8266068759	0.4180335328
136	0.8266068759	0.4176340416
137	0.8266068759	0.4167428078
138	0.8266068759	0.4165311396
139	0.8266068759	0.4155122478
140	0.8266068759	0.4153601531
141	0.8266068759	0.4149738693
142	0.8266068759	0.4145431285
143	0.8266068759	0.4141580855
144	0.8266068759	0.4137264324
145	0.8266068759	0.4134310718
146	0.8266068759	0.412893703
147	0.8266068759	0.4125206605
148	0.8266068759	0.4124986872
149	0.8266068759	0.4121208131
150	0.8266068759	0.4118683269
151	0.8266068759	0.4113743092
152	0.8266068759	0.4106985517
153	0.8266068759	0.4101943892
154	0.8266068759	0.4097302922
155	0.8281016442	0.4090402035
156	0.8295964126	0.408408259
157	0.8266068759	0.4081044707
158	0.8266068759	0.407998087
159	0.8266068759	0.407414506
160	0.8266068759	0.4072954079
161	0.8266068759	0.4071474441
162	0.8295964126	0.4069378584
163	0.8295964126	0.4063207682
164	0.8281016442	0.4060300763
165	0.8281016442	0.4059230668
166	0.8281016442	0.4055989158
167	0.8281016442	0.4052718182
168	0.8281016442	0.4049309995
169	0.8281016442	0.4043085463
170	0.8281016442	0.4038656274
171	0.8281016442	0.4035683149
172	0.8281016442	0.403155259
173	0.8281016442	0.402834619
174	0.8281016442	0.4026957138
175	0.8281016442	0.4022800214
176	0.8281016442	0.4017652362
177	0.8281016442	0.4014710849
178	0.8281016442	0.4011418005
179	0.8281016442	0.4006540847
180	0.8295964126	0.4003129417
181	0.8295964126	0.3997676898
182	0.8295964126	0.3992119117
183	0.8295964126	0.3987845316
184	0.8295964126	0.3983552509
185	0.8295964126	0.3979619745
186	0.8310911809	0.3975221699
187	0.8310911809	0.3973480133
188	0.8310911809	0.3970542995
189	0.8310911809	0.3969613428
190	0.8310911809	0.3963989971
191	0.8310911809	0.3962920656
192	0.8310911809	0.3961007225
193	0.8310911809	0.3959759988
194	0.8310911809	0.3958533885
195	0.8310911809	0.3950451673
196	0.8310911809	0.3947798178
197	0.8325859492	0.3947047081
198	0.8325859492	0.394608331
199	0.8340807175	0.3945557457
200	0.8340807175	0.3944767656
201	0.8340807175	0.3942109434
202	0.8340807175	0.3937816264
203	0.8340807175	0.3935344272
204	0.8340807175	0.3932847102
205	0.8340807175	0.3931083275
206	0.8340807175	0.3928120257
207	0.8355754858	0.3923259962
208	0.8355754858	0.3920885147
209	0.8340807175	0.3915238957
210	0.8355754858	0.3912603185
211	0.8355754858	0.3908348711
212	0.8340807175	0.3905040172
213	0.8325859492	0.390357264
214	0.8325859492	0.3903523775
215	0.8340807175	0.3899380256
216	0.8340807175	0.3896824724
217	0.8355754858	0.3896296132
218	0.8355754858	0.3894190768
219	0.8340807175	0.3894147062
220	0.8355754858	0.3893703418
221	0.8370702541	0.3887915411
222	0.8370702541	0.3883325305
223	0.8370702541	0.3882538739
224	0.8370702541	0.3879175158
225	0.8370702541	0.3877526179
226	0.8355754858	0.3877160789
227	0.8355754858	0.38734248722228	0.8355754858	0.38710416322229	0.8355754858	0.38699411022230	0.8355754858	0.38687793230231	0.8355754858	0.38671920231232	0.8370702541	0.3865266323233	0.8385650224	0.38607120323234	0.8400597907	0.38547146623235	0.8400597907	0.38501952223236	0.8400597907	0.38445779236237	0.8400597907	0.38406504237238	0.8400597907	0.38359517238239	0.8400597907	0.3831530239	240	0.8400597907	0.3829732240	241	0.8400597907	0.382636241	0242	0.8400597907	0.382481242	0243	0.8400597907	0.382304243	0244	0.841554559	0.3819650244	245	0.841554559	0.38183184245246	0.841554559	0.38166149324247	0.841554559	0.38128275752248	0.841554559	0.3807718132
249	0.841554559	0.3805934669
250	0.841554559	0.3804153102
251	0.841554559	0.3803292375
252	0.841554559	0.3800979644
253	0.841554559	0.3798057815
254	0.841554559	0.3796294055
255	0.841554559	0.3795039654
256	0.841554559	0.3790159159
257	0.841554559	0.378680297
258	0.841554559	0.3785092592
259	0.8400597907	0.3783266657
260	0.8400597907	0.3780177808
261	0.8400597907	0.3776507535
262	0.841554559	0.3773554668
263	0.841554559	0.3772453884
264	0.841554559	0.3770689904
265	0.841554559	0.3770111208
266	0.841554559	0.3769702339
267	0.841554559	0.3765628934
268	0.841554559	0.3765196405
269	0.841554559	0.3764834905
270	0.8430493274	0.3761743294
271	0.8430493274	0.3754873611
272	0.8430493274	0.3752036889
273	0.8430493274	0.3749748323
274	0.8430493274	0.3748994619
275	0.8430493274	0.3748814527
276	0.8445440957	0.3746112445
277	0.8445440957	0.374299962
278	0.846038864	0.3740586121
279	0.846038864	0.3739316152
280	0.846038864	0.3737497982
281	0.846038864	0.3736159213
282	0.846038864	0.3734028669
283	0.846038864	0.3733212172
284	0.846038864	0.3732943153
285	0.846038864	0.3729031203
286	0.846038864	0.3724731789
287	0.846038864	0.372393843
288	0.846038864	0.3721986946
289	0.846038864	0.3720767338
290	0.8490284006	0.3719014009
291	0.846038864	0.3717722102
292	0.8475336323	0.3716004047
293	0.8475336323	0.3715797418
294	0.8490284006	0.3712500711
295	0.8490284006	0.3708332941
296	0.8490284006	0.3707845445
297	0.8490284006	0.3706238088
298	0.8475336323	0.3702060459
299	0.8490284006	0.3701163811
300	0.8490284006	0.369916026
301	0.8490284006	0.3699105067
302	0.8475336323	0.3697880337
303	0.8475336323	0.3697246675
304	0.8475336323	0.3692964469
305	0.846038864	0.3692426239
306	0.8475336323	0.3688861182
307	0.8475336323	0.3688748147
308	0.8475336323	0.3687327575
309	0.8490284006	0.3684303654
310	0.8490284006	0.3684252331
311	0.8505231689	0.3683441283
312	0.8490284006	0.3682460123
313	0.8505231689	0.3679167361
314	0.8505231689	0.3678202659
315	0.8505231689	0.3677865382
316	0.8505231689	0.3675682969
317	0.8505231689	0.3675598357
318	0.8505231689	0.3672506956
319	0.8505231689	0.3670801799
320	0.8505231689	0.3668190049
321	0.8505231689	0.3667090023
322	0.8505231689	0.3662966835
323	0.8520179372	0.3660101336
324	0.8520179372	0.3658246914
325	0.8520179372	0.3656349679
326	0.8520179372	0.3655925251
327	0.8520179372	0.3655651455
328	0.8520179372	0.3653844697
329	0.8520179372	0.3653602379
330	0.8520179372	0.3651346049
331	0.8520179372	0.3650498855
332	0.8520179372	0.3650157726
333	0.8520179372	0.3649761487
334	0.8520179372	0.3646915204
335	0.8520179372	0.3646768265
336	0.8520179372	0.364502016
337	0.8520179372	0.3643481412
338	0.8520179372	0.3641952565
339	0.8520179372	0.3641869288
340	0.8535127055	0.3636381332
341	0.8535127055	0.3634639628
342	0.8535127055	0.3634104821
343	0.8535127055	0.3634103272
344	0.8535127055	0.363371855
345	0.8535127055	0.3631453631
346	0.8535127055	0.3631039547
347	0.8535127055	0.3628082327
348	0.8535127055	0.362619819
349	0.8535127055	0.3626162526
350	0.8535127055	0.3626161126
351	0.8535127055	0.3625501819
352	0.8535127055	0.3621811596
353	0.8535127055	0.3619774143
354	0.8535127055	0.3618161889
355	0.8535127055	0.3617349181
356	0.8535127055	0.3617178008
357	0.8535127055	0.3614779973
358	0.8535127055	0.3614759381
359	0.8535127055	0.3613785448
360	0.8535127055	0.3613104679
361	0.8535127055	0.3611797658
362	0.8535127055	0.3611270052
363	0.8535127055	0.3607284161
364	0.8535127055	0.3605401234
365	0.8535127055	0.3605104329
366	0.8535127055	0.3602932282
367	0.8535127055	0.3600161154
368	0.8535127055	0.3599342223
369	0.8535127055	0.3599219185
370	0.8535127055	0.3597410122
371	0.8535127055	0.3597306536
372	0.8535127055	0.3597203643
373	0.8535127055	0.3595522059
374	0.8535127055	0.3595415291
375	0.8535127055	0.3593801398
376	0.8535127055	0.3592315676
377	0.8535127055	0.3590971473
378	0.8550074738	0.3589945337
379	0.8550074738	0.3587802404
380	0.8550074738	0.3585263302
381	0.8550074738	0.3581710585
382	0.8550074738	0.3581627993
383	0.8550074738	0.3581301829
384	0.8550074738	0.358090661
385	0.8550074738	0.3580234179
386	0.8565022422	0.3578792046
387	0.8535127055	0.3575932246
388	0.8550074738	0.3573431865
389	0.8565022422	0.357208617
390	0.8565022422	0.3570465908
391	0.8565022422	0.3567399908
392	0.8565022422	0.3566270968
393	0.8565022422	0.3564212078
394	0.8565022422	0.3562802308
395	0.8565022422	0.3560754416
396	0.8565022422	0.3559896871
397	0.8565022422	0.3558591096
398	0.8565022422	0.3556576587
399	0.8565022422	0.3555257735
400	0.8579970105	0.3553850934
401	0.8579970105	0.3553310649
402	0.8579970105	0.3551180384
403	0.8579970105	0.3549936804
404	0.8579970105	0.3549403515
405	0.8579970105	0.3548360302
406	0.8579970105	0.3547146953
407	0.8579970105	0.3546430394
408	0.8579970105	0.3545180872
409	0.8579970105	0.3544393139
410	0.8579970105	0.354287079
411	0.8579970105	0.3542231632
412	0.8579970105	0.3541991829
413	0.8579970105	0.3541755907
414	0.8579970105	0.3540128315
415	0.8579970105	0.3538393356
416	0.8579970105	0.3538311005
417	0.8579970105	0.3537101638
418	0.8579970105	0.3536893065
419	0.8579970105	0.3533413667
420	0.8579970105	0.3528662982
421	0.8579970105	0.3527467697
422	0.8579970105	0.352496982
423	0.8579970105	0.3523801102
424	0.8579970105	0.3523612533
425	0.8579970105	0.3521940258
426	0.8579970105	0.3518670668
427	0.8579970105	0.3516597697
428	0.8579970105	0.3512326687
429	0.8579970105	0.3510767209
430	0.8579970105	0.3508370915
431	0.8579970105	0.3508191179
432	0.8579970105	0.3506594265
433	0.8579970105	0.3505524305
434	0.8579970105	0.3504293076
435	0.8579970105	0.3502815487
436	0.8594917788	0.3498477659
437	0.8594917788	0.3497280926
438	0.8609865471	0.3496742745
439	0.8609865471	0.349491423
440	0.8609865471	0.3494914228
441	0.8609865471	0.3492475243
442	0.8609865471	0.349085809
443	0.8609865471	0.3489287027
444	0.8609865471	0.3489114247
445	0.8609865471	0.3488571663
446	0.8609865471	0.3487315262
447	0.8609865471	0.3486733506
448	0.8609865471	0.3486733458
449	0.8609865471	0.3486650889
450	0.8609865471	0.3484561452
451	0.8609865471	0.348299291
452	0.8609865471	0.3482142432
453	0.8609865471	0.3480034172
454	0.8609865471	0.3479559216
455	0.8624813154	0.3477804894
456	0.8624813154	0.3476757487
457	0.8624813154	0.3476054489
458	0.8624813154	0.3472420304
459	0.8624813154	0.3470953371
460	0.8624813154	0.3470821518
461	0.8624813154	0.3470681869
462	0.8624813154	0.3469259544
463	0.8624813154	0.3465944523
464	0.8624813154	0.346306101
465	0.8624813154	0.3461417224
466	0.8624813154	0.3460228217
467	0.8624813154	0.3458584356
468	0.8624813154	0.3456663596
469	0.8624813154	0.3455597962
470	0.8624813154	0.3454798648
471	0.8624813154	0.345460555
472	0.8624813154	0.3453861607
473	0.8639760837	0.3450314482
474	0.8639760837	0.344839756
475	0.8639760837	0.3445556641
476	0.8639760837	0.3445302671
477	0.8639760837	0.3445113931
478	0.8639760837	0.3444785406
479	0.8639760837	0.3444077434
480	0.8639760837	0.3441779773
481	0.8639760837	0.3441334892
482	0.865470852	0.3441186885
483	0.865470852	0.3439670605
484	0.865470852	0.343818368
485	0.865470852	0.3437530062
486	0.865470852	0.3435566423
487	0.865470852	0.3435416503
488	0.865470852	0.3434961284
489	0.865470852	0.3433497689
490	0.865470852	0.3432806601
491	0.865470852	0.343260899
492	0.865470852	0.3430003927
493	0.865470852	0.3429088138
494	0.865470852	0.3429030947
495	0.865470852	0.3427346047
496	0.865470852	0.3425083968
497	0.865470852	0.3424000276
498	0.865470852	0.3423290019
499	0.865470852	0.3421582904
500	0.865470852	0.3421510335
501	0.865470852	0.3421143486
502	0.865470852	0.3419433968
